T_years,Model_1a_Rocket_Cost,Model_1b_Rocket_Cost,Elevator_Cost,Model_1a_Total,Model_1b_Total
182,,,31344897628.386482,,
183,,1.9465707367712508e+24,31344897628.386482,,1.9465707367712822e+24
184,,1.7368221836572022e+24,31344897628.386482,,1.7368221836572336e+24
185,,1.5516260405600045e+24,31344897628.386482,,1.551626040560036e+24
186,,1.3878940093793585e+24,31344897628.386482,,1.38789400937939e+24
187,,1.2429517870175207e+24,31344897628.386482,,1.242951787017552e+24
188,,1.1144803023965128e+24,31344897628.386482,,1.1144803023965442e+24
189,,1.0004657388418311e+24,31344897628.386482,,1.0004657388418625e+24
190,,8.991569644105991e+23,31344897628.386482,,8.991569644106305e+23
191,,8.090292183859957e+23,31344897628.386482,,8.090292183860271e+23
192,,7.287530893039851e+23,31344897628.386482,,7.287530893040165e+23
193,,6.571679753460621e+23,31344897628.386482,,6.571679753460935e+23
194,,5.932593472926574e+23,31344897628.386482,,5.9325934729268874e+23
195,,5.361392420413458e+23,31344897628.386482,,5.3613924204137715e+23
196,,4.8502950468303794e+23,31344897628.386482,,4.850295046830693e+23
197,,4.392473723595518e+23,31344897628.386482,,4.3924737235958315e+23
198,,3.981930561137679e+23,31344897628.386482,,3.981930561137992e+23
199,,3.6133902975998105e+23,31344897628.386482,,3.613390297600124e+23
200,,3.282207791554381e+23,31344897628.386482,,3.2822077915546944e+23
201,,2.9842880255426745e+23,31344897628.386482,,2.984288025542988e+23
202,,2.716016841392757e+23,31344897628.386482,,2.7160168413930704e+23
203,,2.4742008932120008e+23,31344897628.386482,,2.4742008932123142e+23
204,,2.256015527711058e+23,31344897628.386482,,2.2560155277113714e+23
205,,2.058959490756694e+23,31344897628.386482,,2.0589594907570074e+23
206,,1.8808155193141256e+23,31344897628.386482,,1.880815519314439e+23
207,,1.719616013844587e+23,31344897628.386482,,1.7196160138449005e+23
208,,1.573613101625139e+23,31344897628.386482,,1.5736131016254524e+23
209,,1.4412524995764945e+23,31344897628.386482,,1.4412524995768079e+23
210,,1.3211506687162042e+23,31344897628.386482,,1.3211506687165176e+23
211,,1.2120748235579239e+23,31344897628.386482,,1.2120748235582373e+23
212,,1.112925420548224e+23,31344897628.386482,,1.1129254205485373e+23
213,,1.0227208015629274e+23,31344897628.386482,,1.0227208015632408e+23
214,,9.40583712915549e+22,31344897628.386482,,9.405837129158623e+22
215,,8.657294583898014e+22,31344897628.386482,,8.657294583901148e+22
216,,7.974554774487444e+22,31344897628.386482,,7.974554774490578e+22
217,,7.351321677992497e+22,31344897628.386482,,7.351321677995632e+22
218,,6.7819479558211435e+22,31344897628.386482,,6.781947955824278e+22
219,,6.261363571917671e+22,31344897628.386482,,6.261363571920806e+22
220,,5.785012745925181e+22,31344897628.386482,,5.785012745928316e+22
221,,5.348798214062431e+22,31344897628.386482,,5.348798214065566e+22
222,,4.949031903501934e+22,31344897628.386482,,4.9490319035050685e+22
223,,4.582391241042327e+22,31344897628.386482,,4.582391241045462e+22
224,,4.245880416381288e+22,31344897628.386482,,4.245880416384423e+22
225,,3.936796006503968e+22,31344897628.386482,,3.936796006507103e+22
226,,3.652696442455895e+22,31344897628.386482,,3.6526964424590292e+22
227,,3.3913748646603866e+22,31344897628.386482,,3.391374864663521e+22
228,,3.150834969327725e+22,31344897628.386482,,3.1508349693308596e+22
229,,2.9292694975481196e+22,31344897628.386482,,2.929269497551254e+22
230,,2.7250410613641876e+22,31344897628.386482,,2.725041061367322e+22
231,,2.5366650383355425e+22,31344897628.386482,,2.536665038338677e+22
232,,2.3627942985752407e+22,31344897628.386482,,2.362794298578375e+22
233,,2.2022055565890672e+22,31344897628.386482,,2.2022055565922016e+22
234,,2.0537871650283296e+22,31344897628.386482,,2.053787165031464e+22
235,,1.9165281891458983e+22,31344897628.386482,,1.9165281891490327e+22
236,,1.7895086197287791e+22,31344897628.386482,,1.7895086197319135e+22
237,,1.671890598918793e+22,31344897628.386482,,1.6718905989219274e+22
238,,1.5629105479295003e+22,31344897628.386482,,1.5629105479326347e+22
239,,1.4618720984833255e+22,31344897628.386482,,1.4618720984864599e+22
240,,1.3681397410562254e+22,31344897628.386482,,1.3681397410593598e+22
241,,1.2811331129236871e+22,31344897628.386482,,1.2811331129268215e+22
242,,1.2003218577234126e+22,31344897628.386482,,1.200321857726547e+22
243,,1.1252209959343609e+22,31344897628.386482,,1.1252209959374953e+22
244,,1.055386752447924e+22,31344897628.386482,,1.0553867524510585e+22
245,,9.90412793387703e+21,31344897628.386482,,9.904127933908374e+21
246,,9.299268296168441e+21,31344897628.386482,,9.299268296199786e+21
247,,8.735875490417368e+21,31344897628.386482,,8.735875490448713e+21
248,,8.210818439524062e+21,31344897628.386482,,8.210818439555407e+21
249,,7.721223032981355e+21,31344897628.386482,,7.7212230330127e+21
250,,7.264449430384323e+21,31344897628.386482,,7.264449430415668e+21
251,,6.838071505841238e+21,31344897628.386482,,6.838071505872583e+21
252,,6.43985821894694e+21,31344897628.386482,,6.439858218978285e+21
253,,6.067756720639464e+21,31344897628.386482,,6.067756720670809e+21
254,,5.719877022401439e+21,31344897628.386482,,5.719877022432784e+21
255,,5.394478075183687e+21,31344897628.386482,,5.394478075215032e+21
256,,5.089955120375521e+21,31344897628.386482,,5.089955120406866e+21
257,,4.804828189353182e+21,31344897628.386482,,4.804828189384527e+21
258,,4.537731640801087e+21,31344897628.386482,,4.5377316408324323e+21
259,,4.287404636299032e+21,31344897628.386482,,4.287404636330377e+21
260,,4.052682464752875e+21,31344897628.386482,,4.05268246478422e+21
261,,3.8324886352568527e+21,31344897628.386482,,3.832488635288198e+21
262,,3.6258276660292254e+21,31344897628.386482,,3.6258276660605705e+21
263,,3.43177850426844e+21,31344897628.386482,,3.431778504299785e+21
264,,3.2494885182263127e+21,31344897628.386482,,3.249488518257658e+21
265,,3.0781680085727686e+21,31344897628.386482,,3.0781680086041137e+21
266,,2.9170851913047626e+21,31344897628.386482,,2.9170851913361077e+21
267,,2.765561609097508e+21,31344897628.386482,,2.765561609128853e+21
268,,2.6229679321650493e+21,31344897628.386482,,2.6229679321963944e+21
269,,2.4887201134414203e+21,31344897628.386482,,2.4887201134727654e+21
270,,2.3622758662587527e+21,31344897628.386482,,2.362275866290098e+21
271,,2.243131435724141e+21,31344897628.386482,,2.2431314357554858e+21
272,,2.1308186377203844e+21,31344897628.386482,,2.1308186377517293e+21
273,,2.0249021419064735e+21,31344897628.386482,,2.0249021419378183e+21
274,,1.9249769773025772e+21,31344897628.386482,,1.924976977333922e+21
275,,1.8306662410349786e+21,31344897628.386482,,1.8306662410663234e+21
276,,1.7416189926121202e+21,31344897628.386482,,1.741618992643465e+21
277,,1.6575083177236305e+21,31344897628.386482,,1.6575083177549753e+21
278,,1.5780295470176907e+21,31344897628.386482,,1.5780295470490355e+21
279,,1.5028986166346184e+21,31344897628.386482,,1.5028986166659632e+21
280,,1.431850558470159e+21,31344897628.386482,,1.431850558501504e+21
281,,1.3646381092233717e+21,31344897628.386482,,1.3646381092547165e+21
282,,1.3010304282632389e+21,31344897628.386482,,1.3010304282945837e+21
283,,1.2408119152343688e+21,31344897628.386482,,1.2408119152657136e+21
284,,1.1837811191257584e+21,31344897628.386482,,1.1837811191571032e+21
285,,1.1297497312547135e+21,31344897628.386482,,1.1297497312860584e+21
286,,1.0785416552788436e+21,31344897628.386482,,1.0785416553101885e+21
287,,1.0299921479485437e+21,31344897628.386482,,1.0299921479798886e+21
288,,9.83947024856985e+20,31344897628.386482,,9.839470248883299e+20
289,,9.402619259393498e+20,31344897628.386482,,9.402619259706948e+20
290,,8.98801635922663e+20,31344897628.386482,,8.98801635954008e+20
291,,8.59439455336762e+20,31344897628.386482,,8.59439455368107e+20
292,,8.220566180689902e+20,31344897628.386482,,8.220566181003352e+20
293,,7.86541751784193e+20,31344897628.386482,,7.86541751815538e+20
294,,7.527903778401577e+20,31344897628.386482,,7.527903778715026e+20
295,,7.207044476100156e+20,31344897628.386482,,7.207044476413605e+20
296,,6.901919123795788e+20,31344897628.386482,,6.901919124109238e+20
297,,6.611663242215904e+20,31344897628.386482,,6.611663242529353e+20
298,,6.335464654623782e+20,31344897628.386482,,6.335464654937231e+20
299,,6.072560045514553e+20,31344897628.386482,,6.072560045828002e+20
300,,5.8222317632268285e+20,31344897628.386482,,5.8222317635402773e+20
301,,5.5838048479852777e+20,31344897628.386482,,5.5838048482987265e+20
302,,5.35664426837693e+20,31344897628.386482,,5.3566442686903786e+20
303,,5.1401523506274874e+20,31344897628.386482,,5.140152350940936e+20
304,,4.9337663862893006e+20,31344897628.386482,,4.9337663866027495e+20
305,,4.7369564050950187e+20,31344897628.386482,,4.7369564054084675e+20
306,,4.549223100776119e+20,31344897628.386482,,4.549223101089568e+20
307,,4.370095898603968e+20,31344897628.386482,,4.370095898917417e+20
308,,4.199131154290055e+20,31344897628.386482,,4.199131154603504e+20
309,,4.0359104746877e+20,31344897628.386482,,4.035910475001149e+20
310,,3.880039151477511e+20,31344897628.386482,,3.88003915179096e+20
311,,3.731144699697952e+20,31344897628.386482,,3.731144700011401e+20
312,,3.588875493606138e+20,31344897628.386482,,3.588875493919587e+20
